Sample,condition,time,rep,Primary,Cap,Total Area
mock-24-1,mock,24,1,puromycin,2,9997620.825
XS1-24-1,XS1,24,1,puromycin,3,6795463.808
XS2-24-1,XS2,24,1,puromycin,4,6740086.089
XS3-24-1,XS3,24,1,puromycin,5,7138039.134
XS4-24-1,XS4,24,1,puromycin,6,6886764.219
XS5-24-1,XS5,24,1,puromycin,7,7876904.55
mock-24-2,mock,24,2,puromycin,8,9625880.667
XS1-24-2,XS1,24,2,puromycin,9,6682316.8
XS2-24-2,XS2,24,2,puromycin,10,7264441.722
XS3-24-2,XS3,24,2,puromycin,11,6988333.13
XS4-24-2,XS4,24,2,puromycin,12,7366358.589
XS5-24-2,XS5,24,2,puromycin,13,7811937.434
mock-24-1,mock,24,1,GAPDH,14,1731272.619
XS1-24-1,XS1,24,1,GAPDH,15,1908482.72
XS2-24-1,XS2,24,1,GAPDH,16,2013771.574
XS3-24-1,XS3,24,1,GAPDH,17,1997251.194
XS4-24-1,XS4,24,1,GAPDH,18,1884185.345
XS5-24-1,XS5,24,1,GAPDH,19,2197250.929
mock-24-2,mock,24,2,GAPDH,20,2035307.443
XS1-24-2,XS1,24,2,GAPDH,21,2001000.368
XS2-24-2,XS2,24,2,GAPDH,22,2543045.59
XS3-24-2,XS3,24,2,GAPDH,23,1747374.848
XS4-24-2,XS4,24,2,GAPDH,24,2242911.685
XS5-24-2,XS5,24,2,GAPDH,25,1714182.076
mock-24-3,mock,24,3,puromycin,2,10581237.16
XS1-24-3,XS1,24,3,puromycin,3,7497447.813
XS2-24-3,XS2,24,3,puromycin,4,7762092.994
XS3-24-3,XS3,24,3,puromycin,5,8329788.383
XS4-24-3,XS4,24,3,puromycin,6,7873190.576
XS5-24-3,XS5,24,3,puromycin,7,8093038.878
mock-24-3,mock,24,3,GAPDH,8,2019745.395
XS1-24-3,XS1,24,3,GAPDH,9,1830497.337
XS2-24-3,XS2,24,3,GAPDH,10,2132261.252
XS3-24-3,XS3,24,3,GAPDH,11,1979919.689
XS4-24-3,XS4,24,3,GAPDH,12,1607703.989
XS5-24-3,XS5,24,3,GAPDH,13,1637779.822
