sample_id,rep,GAPDH,spike,spike_over_GAPDH
mock,rep1,1487742.753,73652.53,0.0495062266991261
S1,rep1,1443298.39,75344.931,0.0522032945661361
S2,rep1,1787826.608,4310819.763,2.4112068495403
S3,rep1,1465724.019,6916885.332,4.71909120839753
S4,rep1,1487966.443,8255559.727,5.54821633635457
S5,rep1,1743008.096,9903877.688,5.68206063455944
mock,rep2,1720320.064,99978.989,0.0581165046506137
S1,rep2,1529120.969,83337.382,0.054500189121401
S2,rep2,1857449.738,3614734.981,1.94607418281592
S3,rep2,1912453.499,7953105.998,4.15858790927915
S4,rep2,2004270.026,8743792.165,4.36258191340132
S5,rep2,1614094.143,9262362.702,5.73842779999481
